"Name","Path","SizeMB"
"tor-browser-windows-x86_64-portable-14.0.6.exe","C:\TEMP\tor-browser-windows-x86_64-portable-14.0.6.exe","105.19"
"WinSCP-6.3.6-Setup.exe","C:\TEMP\WinSCP-6.3.6-Setup.exe","11.1"
"PotPlayerSetup64_146.exe","C:\TEMP\PotUpdate\PotPlayerSetup64_146.exe","40.19"
"GitHubDesktopSetup-x64.exe","C:\TEMP\WinGet\GitHub.GitHubDesktop.3.4.18\GitHubDesktopSetup-x64.exe","164.92"
"windows_64.exe","C:\TEMP\WinGet\Postman.Postman.11.36.6\windows_64.exe","147.36"
"windows_64.exe","C:\TEMP\WinGet\Postman.Postman.11.37.5\windows_64.exe","147.35"
"NT_193000_client.zip","C:\TEMP\___\NT_193000_client.zip","957.53"
